fill	xmin	xmax	ymin	ymax	key	showSelected1
#EFF8FF	0	1	0	1	1	0
#D9EFFF	0	0.688528754864819	0	1	2	1
#FFD8CA	0.688528754864819	1	0	1	3	1
#D9EFFF	0	0.688528754864819	0	1	2	2
#B2E1FF	0.688528754864819	1	0	0.398789217462763	4	2
#FF5636	0.688528754864819	1	0.398789217462763	1	5	2
#B2E1FF	0.688528754864819	1	0	0.398789217462763	4	3
#FF5636	0.688528754864819	1	0.398789217462763	1	5	3
#FFF7F4	0	0.398266981705092	0	1	6	3
#64CAFF	0.398266981705092	0.688528754864819	0	1	7	3
#B2E1FF	0.688528754864819	1	0	0.398789217462763	4	4
#FF5636	0.688528754864819	1	0.398789217462763	1	5	4
#64CAFF	0.398266981705092	0.688528754864819	0	1	7	4
#FF6E4D	0	0.398266981705092	0	0.497950058314018	8	4
#A2DBFF	0	0.398266981705092	0.497950058314018	1	9	4
#B2E1FF	0.688528754864819	1	0	0.398789217462763	4	5
#FF5636	0.688528754864819	1	0.398789217462763	1	5	5
#FF6E4D	0	0.398266981705092	0	0.497950058314018	8	5
#A2DBFF	0	0.398266981705092	0.497950058314018	1	9	5
#00BFFF	0.398266981705092	0.688528754864819	0	0.562734881066717	10	5
#A1DBFF	0.398266981705092	0.688528754864819	0.562734881066717	1	11	5
#B2E1FF	0.688528754864819	1	0	0.398789217462763	4	6
#FF5636	0.688528754864819	1	0.398789217462763	1	5	6
#FF6E4D	0	0.398266981705092	0	0.497950058314018	8	6
#00BFFF	0.398266981705092	0.688528754864819	0	0.562734881066717	10	6
#A1DBFF	0.398266981705092	0.688528754864819	0.562734881066717	1	11	6
#EBF7FF	0	0.148332321085036	0.497950058314018	1	12	6
#75CEFF	0.148332321085036	0.398266981705092	0.497950058314018	1	13	6
#B2E1FF	0.688528754864819	1	0	0.398789217462763	4	7
#FF5636	0.688528754864819	1	0.398789217462763	1	5	7
#FF6E4D	0	0.398266981705092	0	0.497950058314018	8	7
#00BFFF	0.398266981705092	0.688528754864819	0	0.562734881066717	10	7
#A1DBFF	0.398266981705092	0.688528754864819	0.562734881066717	1	11	7
#EBF7FF	0	0.148332321085036	0.497950058314018	1	12	7
#00BFFF	0.148332321085036	0.398266981705092	0.497950058314018	0.796848405501805	14	7
#ABDFFF	0.148332321085036	0.398266981705092	0.796848405501805	1	15	7
#B2E1FF	0.688528754864819	1	0	0.398789217462763	4	8
#FF5636	0.688528754864819	1	0.398789217462763	1	5	8
#FF6E4D	0	0.398266981705092	0	0.497950058314018	8	8
#00BFFF	0.398266981705092	0.688528754864819	0	0.562734881066717	10	8
#A1DBFF	0.398266981705092	0.688528754864819	0.562734881066717	1	11	8
#EBF7FF	0	0.148332321085036	0.497950058314018	1	12	8
#00BFFF	0.148332321085036	0.398266981705092	0.497950058314018	0.796848405501805	14	8
#FFFFFF	0.148332321085036	0.398266981705092	0.796848405501805	0.879315383266658	16	8
#00BFFF	0.148332321085036	0.398266981705092	0.879315383266658	1	17	8
#B2E1FF	0.688528754864819	1	0	0.398789217462763	4	9
#FF5636	0.688528754864819	1	0.398789217462763	1	5	9
#00BFFF	0.398266981705092	0.688528754864819	0	0.562734881066717	10	9
#A1DBFF	0.398266981705092	0.688528754864819	0.562734881066717	1	11	9
#EBF7FF	0	0.148332321085036	0.497950058314018	1	12	9
#00BFFF	0.148332321085036	0.398266981705092	0.497950058314018	0.796848405501805	14	9
#FFFFFF	0.148332321085036	0.398266981705092	0.796848405501805	0.879315383266658	16	9
#00BFFF	0.148332321085036	0.398266981705092	0.879315383266658	1	17	9
#FF8C6D	0	0.267083358601667	0	0.497950058314018	18	9
#FF0000	0.267083358601667	0.398266981705092	0	0.497950058314018	19	9
