x	xend	y	yend	key	showSelected1
-0.5	0	-1	0	2 1	1
0.5	0	-1	0	3 1	1
-0.5	0	-1	0	2 1	2
0.5	0	-1	0	3 1	2
0	0.5	-2	-1	4 3	2
1	0.5	-2	-1	5 3	2
-0.5	0	-1	0	2 1	3
0.5	0	-1	0	3 1	3
0.5	0.5	-2	-1	4 3	3
1.5	0.5	-2	-1	5 3	3
-1.5	-0.5	-2	-1	6 2	3
-0.5	-0.5	-2	-1	7 2	3
-0.5	0	-1	0	2 1	4
0.5	0	-1	0	3 1	4
0.5	0.5	-2	-1	4 3	4
1.5	0.5	-2	-1	5 3	4
-1.5	-0.5	-2	-1	6 2	4
-0.5	-0.5	-2	-1	7 2	4
-2	-1.5	-3	-2	8 6	4
-1	-1.5	-3	-2	9 6	4
-0.5	0	-1	0	2 1	5
0.5	0	-1	0	3 1	5
0.5	0.5	-2	-1	4 3	5
1.5	0.5	-2	-1	5 3	5
-1.5	-0.5	-2	-1	6 2	5
-0.5	-0.5	-2	-1	7 2	5
-2.5	-1.5	-3	-2	8 6	5
-1.5	-1.5	-3	-2	9 6	5
-0.5	-0.5	-3	-2	10 7	5
0.5	-0.5	-3	-2	11 7	5
-0.5	0	-1	0	2 1	6
0.5	0	-1	0	3 1	6
0.5	0.5	-2	-1	4 3	6
1.5	0.5	-2	-1	5 3	6
-1.5	-0.5	-2	-1	6 2	6
-0.5	-0.5	-2	-1	7 2	6
-2.5	-1.5	-3	-2	8 6	6
-1.5	-1.5	-3	-2	9 6	6
-0.5	-0.5	-3	-2	10 7	6
0.5	-0.5	-3	-2	11 7	6
-2	-1.5	-4	-3	12 9	6
-1	-1.5	-4	-3	13 9	6
-0.5	0	-1	0	2 1	7
0.5	0	-1	0	3 1	7
0.5	0.5	-2	-1	4 3	7
1.5	0.5	-2	-1	5 3	7
-1.5	-0.5	-2	-1	6 2	7
-0.5	-0.5	-2	-1	7 2	7
-2.5	-1.5	-3	-2	8 6	7
-1.5	-1.5	-3	-2	9 6	7
-0.5	-0.5	-3	-2	10 7	7
0.5	-0.5	-3	-2	11 7	7
-2	-1.5	-4	-3	12 9	7
-1	-1.5	-4	-3	13 9	7
-1.5	-1	-5	-4	14 13	7
-0.5	-1	-5	-4	15 13	7
-0.5	0	-1	0	2 1	8
0.5	0	-1	0	3 1	8
0.5	0.5	-2	-1	4 3	8
1.5	0.5	-2	-1	5 3	8
-1.5	-0.5	-2	-1	6 2	8
-0.5	-0.5	-2	-1	7 2	8
-2.5	-1.5	-3	-2	8 6	8
-1.5	-1.5	-3	-2	9 6	8
-0.5	-0.5	-3	-2	10 7	8
0.5	-0.5	-3	-2	11 7	8
-2	-1.5	-4	-3	12 9	8
-1	-1.5	-4	-3	13 9	8
-1.5	-1	-5	-4	14 13	8
-0.5	-1	-5	-4	15 13	8
-1	-0.5	-6	-5	16 15	8
0	-0.5	-6	-5	17 15	8
-0.5	0	-1	0	2 1	9
0.5	0	-1	0	3 1	9
0.5	0.5	-2	-1	4 3	9
1.5	0.5	-2	-1	5 3	9
-1.5	-0.5	-2	-1	6 2	9
-0.5	-0.5	-2	-1	7 2	9
-2.5	-1.5	-3	-2	8 6	9
-1.5	-1.5	-3	-2	9 6	9
-0.5	-0.5	-3	-2	10 7	9
0.5	-0.5	-3	-2	11 7	9
-1.5	-1.5	-4	-3	12 9	9
-0.5	-1.5	-4	-3	13 9	9
-1	-0.5	-5	-4	14 13	9
0	-0.5	-5	-4	15 13	9
-0.5	0	-6	-5	16 15	9
0.5	0	-6	-5	17 15	9
-3.5	-2.5	-4	-3	18 8	9
-2.5	-2.5	-4	-3	19 8	9
